,count,mean,min,25%,50%,75%,max,std
Date,2109,2022-03-11 20:05:07.254623,2018-01-02 00:00:00,2020-02-06 00:00:00,2022-03-10 00:00:00,2024-04-16 00:00:00,2026-05-22 00:00:00,
AMD_Close,2109.0,97.64821238312014,9.529999732971191,47.5,90.91000366210938,132.5,467.510009765625,65.69030592204678
MSFT_Close,2109.0,269.9950644003378,77.83920288085938,151.87461853027344,259.34674072265625,389.478271484375,538.6585693359375,126.62397190702394
NVDA_Close,2109.0,51.256841516087775,3.150397300720215,6.613819122314453,18.8916072845459,88.913818359375,235.7400054931641,61.27238799398432
^IXIC_Close,2109.0,13351.020600421556,6192.919921875,8665.4697265625,13036.4296875,16195.8095703125,26635.220703125,4843.438866967263
AMD_High,2109.0,99.61322428774302,9.770000457763672,48.29999923706055,92.45999908447266,136.38999938964844,481.4100036621094,67.04648533808913
MSFT_High,2109.0,272.5169302583576,79.02953907768298,153.46698304753858,261.28232818719346,392.9938559312525,551.0484742016899,127.57112040621284
NVDA_High,2109.0,52.107733460306505,3.222290209428647,6.715515897122206,19.30128891794506,90.5948732884495,236.5399932861328,62.20350811864673
^IXIC_High,2109.0,13442.426000038895,6355.18017578125,8745.8203125,13149.5498046875,16309.01953125,26707.140625,4866.350428318519
AMD_Low,2109.0,95.5877904453341,9.039999961853027,46.09999847412109,89.02999877929688,129.10000610351562,461.7099914550781,64.05642436623846
MSFT_Low,2109.0,267.2478159517303,76.75871133643632,149.3627676322206,255.82556976472725,385.0221202960428,537.366762825241,125.62169047914088
NVDA_Low,2109.0,50.33266640040644,3.08544591195532,6.494519007189314,18.488339710165604,86.9909005732954,229.3000030517578,60.28832506093783
^IXIC_Low,2109.0,13245.11894869273,6190.169921875,8622.3603515625,12903.6298828125,16066.4599609375,26423.2109375,4812.277027081123
AMD_Open,2109.0,97.62076810752684,9.079999923706056,47.2400016784668,90.77999877929688,132.25,469.8399963378906,65.53718277692957
MSFT_Open,2109.0,269.95937051236115,78.80062348975564,150.72354981735478,258.03360828946245,389.2569126674818,550.8301860551579,126.66785663140685
NVDA_Open,2109.0,51.26168821978379,3.135770806690033,6.613329743941186,18.838843731264284,89.33958648937698,229.8699951171875,61.30985309148714
^IXIC_Open,2109.0,13348.297074804039,6257.85986328125,8672.83984375,13043.3701171875,16178.7998046875,26425.470703125,4842.14704771743
AMD_Volume,2109.0,63571609.388335705,7956800.0,41441500.0,54671700.0,77984500.0,325058400.0,32596230.84342459
MSFT_Volume,2109.0,28049808.8667615,5855900.0,20006100.0,25052100.0,32440600.0,128855300.0,12337345.953839397
NVDA_Volume,2109.0,420360514.5092461,65528500.0,256618300.0,389642000.0,528402000.0,2511528000.0,217748288.3033021
