Date,AMD_Close,MSFT_Close,NVDA_Close,^IXIC_Close,AMD_High,MSFT_High,NVDA_High,^IXIC_High,AMD_Low,MSFT_Low,NVDA_Low,^IXIC_Low,AMD_Open,MSFT_Open,NVDA_Open,^IXIC_Open,AMD_Volume,MSFT_Volume,NVDA_Volume,^IXIC_Volume,AMD_Return,AMD_LogReturn,AMD_NormClose,AMD_MA20,AMD_MA50,AMD_Volatility20,AMD_Return_Capped,AMD_Volume_Capped,MSFT_Return,MSFT_LogReturn,MSFT_NormClose,MSFT_MA20,MSFT_MA50,MSFT_Volatility20,MSFT_Return_Capped,MSFT_Volume_Capped,NVDA_Return,NVDA_LogReturn,NVDA_NormClose,NVDA_MA20,NVDA_MA50,NVDA_Volatility20,NVDA_Return_Capped,NVDA_Volume_Capped,^IXIC_Return,^IXIC_LogReturn,^IXIC_NormClose,^IXIC_MA20,^IXIC_MA50,^IXIC_Volatility20,^IXIC_Return_Capped,^IXIC_Volume_Capped
2018-01-02,10.979999542236328,78.69990539550781,4.928264617919922,7006.89990234375,11.020000457763672,79.02953907768298,4.93197318893543,7006.91015625,10.34000015258789,78.28786678570712,4.808364843062646,6924.080078125,10.420000076293944,78.8647222365954,4.8400081722055255,6937.64990234375,44146300,22483800,355616000,1929700000,,,100.0,,,,,44146300,,,100.0,,,,,22483800,,,100.0,,,,,355616000,,,100.0,,,,,1929700000
2018-01-03,11.550000190734863,79.066162109375,5.252614498138428,7065.52978515625,12.140000343322754,79.21266906606273,5.283022431580959,7069.14990234375,11.359999656677246,78.71821856599594,5.037041544979342,7016.7001953125,11.609999656677246,78.80062348975564,5.04569409396009,7017.06982421875,154066700,26061400,914704000,2173130000,0.05191262953208109,0.05061005909093996,105.19126295320811,,,,0.05191262953208109,132799000,0.004653839315645447,0.004643043686582082,100.46538393156455,,,,0.004653839315645447,26061400,0.06581421765363826,0.06373903068051479,106.58142176536383,,,,0.06581421765363826,914704000,0.008367449746625955,0.008332636701785745,100.8367449746626,,,,0.008367449746625955,2173130000
2018-01-04,12.119999885559082,79.7620620727539,5.28030252456665,7077.91015625,12.43000030517578,80.2656710412665,5.390561458402305,7098.0498046875,11.970000267028809,79.26761153616974,5.2580529787285135,7072.3798828125,12.100000381469728,79.28592141418987,5.333948798451929,7089.5,109503000,21912000,583268000,2103220000,0.04935062211353536,0.04817151771720507,110.38251722085744,,,,0.04935062211353536,109503000,0.008801489092340686,0.008762981770121137,101.34962891239603,,,,0.008801489092340686,21912000,0.00527128469794147,0.0052574401079632516,107.14324278300043,,,,0.00527128469794147,583268000,0.0017522212021183758,0.0017506878534643278,101.01343325715982,,,,0.0017522212021183758,2103220000
2018-01-05,11.880000114440918,80.75094604492188,5.325050354003906,7136.56005859375,12.220000267028809,80.95238958966628,5.362379862490228,7137.0400390625,11.65999984741211,80.05505206830534,5.218252415903529,7097.080078125,12.1899995803833,80.26565404303865,5.295137048095336,7105.740234375,63808900,23407100,580124000,2024000000,-0.01980196150035629,-0.020000647631275736,108.19672686453758,,,,-0.01980196150035629,63808900,0.01239792385590488,0.012321698971502926,102.60615389447614,,,,0.01239792385590488,23407100,0.008474482139814166,0.00843877530550774,108.05122628036673,,,,0.008474482139814166,580124000,0.00828633043497451,0.00825218728355459,101.85046394349988,,,,0.00828633043497451,2024000000
2018-01-08,12.279999732971191,80.83335876464844,5.488213539123535,7157.39013671875,12.300000190734863,81.10805580416533,5.562378395789262,7161.35009765625,11.850000381469728,80.21071819613458,5.403665149857094,7124.08984375,12.010000228881836,80.76010528933247,5.448658886031327,7135.3798828125,63346000,22113000,881216000,2055010000,0.033670001235441616,0.03311557740640669,111.83971079173733,,,,0.033670001235441616,63346000,0.0010205789995416659,0.001020058562861692,102.71087158036458,,,,0.0010205789995416659,22113000,0.0306406839884521,0.030180632155002884,111.36198975938821,,,,0.0306406839884521,881216000,0.002918784113631334,0.002914532733845121,102.14774345962417,,,,0.002918784113631334,2055010000
2018-01-09,11.81999969482422,80.77842712402344,5.486730098724365,7163.580078125,12.020000457763672,81.24540932561654,5.533206792436085,7181.14013671875,11.710000038146973,80.44879345064436,5.4051485679476965,7148.2998046875,12.0,81.17215584579088,5.493652139424891,7174.18994140625,62560900,19484300,497000000,2155810000,-0.037459287308605815,-0.03817891481462121,107.65027493267824,,,,-0.037459287308605815,62560900,-0.0006795664743430851,-0.000679797484302469,102.641072715488,,,,-0.0006795664743430851,19484300,-0.00027029567792780096,-0.0002703322143884357,111.33188909487079,,,,-0.00027029567792780096,497000000,0.0008648321927422487,0.0008644584408550315,102.23608411658402,,,,0.0008648321927422487,2155810000
2018-01-10,11.960000038146973,80.41217803955078,5.529743194580078,7153.56982421875,12.149999618530272,80.75097019209767,5.533204213317102,7154.240234375,11.5600004196167,80.03676612776825,5.339880854318628,7111.52001953125,11.630000114440918,80.44880478462373,5.394268358975929,7129.830078125,52561200,18652200,582664000,2132430000,0.011844360993008785,0.01177476555267365,108.92532364997753,,,,0.011844360993008785,52561200,-0.004533996235286164,-0.004544305970888729,102.17569847821024,,,,-0.004533996235286164,18652200,0.007839477262734817,0.007808908220461985,112.20467290804737,,,,0.007839477262734817,582664000,-0.0013973814485326308,-0.0013983586964876338,102.09322130926888,,,,-0.0013973814485326308,2132430000
2018-01-11,12.140000343322754,80.65022277832031,5.539633274078369,7211.77978515625,12.1899995803833,80.6960009557462,5.593773709416241,7211.77978515625,11.899999618530272,79.88107534771325,5.518124971293101,7163.22998046875,12.06999969482422,80.6960009557462,5.562376981636238,7168.72998046875,38354900,17808900,406032000,2015170000,0.015050192692446673,0.014938062199612911,110.5646707599968,,,,0.015050192692446673,38354900,0.0029603070650872088,0.0029559339844427157,102.4781699202955,,,,0.0029603070650872088,17808900,0.0017885241954789244,0.0017869266905803372,112.4053536803892,,,,0.0017885241954789244,406032000,0.0081371905730796,0.008104262147179853,102.923973307282,,,,0.0081371905730796,2015170000
2018-01-12,12.020000457763672,82.0420150756836,5.512439250946045,7261.06005859375,12.06999969482422,82.20683190606695,5.562129871196444,7265.259765625,11.800000190734863,80.98901904744741,5.47189581277833,7205.18017578125,11.81999969482422,81.19046261634222,5.527766757558744,7208.169921875,47149300,24271500,359916000,1986600000,-0.009884669041635097,-0.009933846721083661,109.4717755818369,,,,-0.009884669041635097,47149300,0.017257141386811004,0.017109928161882948,104.24665018767169,,,,0.017257141386811004,24271500,-0.004908993391236405,-0.004921082077708583,111.85355654203258,,,,-0.004908993391236405,359916000,0.0068333025834943495,0.006810061387406918,103.62728395998614,,,,0.0068333025834943495,1986600000
2018-01-16,11.90999984741211,80.89746856689453,5.441487789154053,7223.68994140625,12.199999809265137,83.13165107075305,5.624428127036779,7330.330078125,11.800000190734863,80.58615171876326,5.356939894778928,7205.93017578125,12.050000190734863,82.49985195610911,5.5388914373368765,7307.18994140625,42686600,36599700,702348000,2399790000,-0.009151464738964554,-0.009193596635098,108.46994848768787,,,,-0.009151464738964554,42686600,-0.01395073618966114,-0.014048962331135506,102.79233267224761,,,,-0.01395073618966114,36599700,-0.012871155320181571,-0.0129547063462776,110.41387204266535,,,,-0.012871155320181571,702348000,-0.005146647581198649,-0.005159937189423758,103.0939508496473,,,,-0.005146647581198649,2399790000
