Feature,Importance
AMD_Return_Lag1,0.054014361219008496
MSFT_Return,0.053647037275797074
NVDA_Volume_Lag1,0.05246706927795531
^IXIC_Return,0.05048750590234469
NVDA_Volume,0.04990924123284829
NVDA_Return_Lag1,0.04918376253352449
NVDA_Volatility20,0.04876227574241097
AMD_Return,0.04819973422354229
NVDA_Return,0.04788864939995863
NVDA_Volume_Roll5,0.04770686110295375
NVDA_Return_Roll5,0.04749429062912543
MSFT_Return_Lag1,0.047454550403607236
^IXIC_Return_Lag1,0.04677870844870864
DayOfYear,0.04494078955734723
AMD_Close,0.041037935151094496
^IXIC_Close,0.039633410922893055
MSFT_Close,0.039399920412006
NVDA_MA20,0.03839307001874529
NVDA_MA50,0.03746800606533926
NVDA_Close,0.036978357889188046
NVDA_Close_Lag1,0.036435696237779897
DayOfWeek,0.021786377833593273
Month,0.019932388520228033
