Model,Accuracy,Precision,Recall,F1,ROC_AUC
Decision Tree,0.5266990291262136,0.5338345864661654,0.9594594594594594,0.6859903381642513,0.47811759127548603
Random Forest,0.5218446601941747,0.6666666666666666,0.22522522522522523,0.3367003367003367,0.5507705073494547
Logistic Regression,0.5024271844660194,0.6349206349206349,0.18018018018018017,0.2807017543859649,0.5787339971550498
